league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,assist_player,assist_player_id,assisted,block_player,block_player_id,blocked,dtid,end_time,event_num,game_date,gid,lineup_id,made,opponent,opponent_lineup_id,oreb_rebound_player,oreb_rebound_player_id,oreb_shot_player,oreb_shot_player_id,oreb_shot_type,otid,period,player,player_id,poss_num,possession_start_time,previous_poss_end_rebound_pid,previous_poss_end_rebound_player,previous_poss_end_shooter_pid,previous_poss_end_shooter_player,previous_poss_end_steal_pid,previous_poss_end_steal_player,previous_poss_end_turnover_pid,previous_poss_end_turnover_player,putback,score_margin,seconds_since_oreb,shot_distance,shot_quality,shot_time,shot_type,shot_value,start_time,start_type,team,time,url,x,y
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,0,,,,,,False,1611661328,78.0,488,2024-09-19,1022400240,1628881-1630114-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-1641651-1642299,,,,,,1611661317,4,Celeste Taylor,1642298,37,01:29,0,,0,,1642298,Celeste Taylor,1630115,Joyner Holmes,False,-19,,24.1,0.3915,81.0,Arc3,3,89.0,OffLiveBallTurnover,PHO,01:21,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/488/99d3b3fe-6170-0bdf-7847-ae303d7cf34b_960x540.mp4,146,192
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,1,,,,,,False,1611661328,93.0,484,2024-09-19,1022400240,1628881-1630114-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-1641651-1642299,Mikiah Herbert Harrigan,1630114.0,Amy Atwell,1631056.0,Arc3,1611661317,4,Amy Atwell,1631056,35,01:59,0,,0,,0,,0,,False,-19,2.0,24.5,0.3786,96.0,Arc3,3,119.0,OffDeadball,PHO,01:36,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/484/09912777-6932-420b-8f0d-25546357f3ac_960x540.mp4,-93,227
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,2,,,,,,False,1611661328,93.0,482,2024-09-19,1022400240,1628881-1630114-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-1641651-1642299,,,,,,1611661317,4,Amy Atwell,1631056,35,01:59,0,,0,,0,,0,,False,-19,,24.7,0.3276,101.0,Arc3,3,119.0,OffDeadball,PHO,01:41,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/482/e7967a7a-e514-d2ee-5d0b-db3af1aa4e58_960x540.mp4,119,217
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,3,,,,,,False,1611661328,159.0,470,2024-09-19,1022400240,1628881-1630114-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-1641651-1642299,Natasha Mack,1630442.0,Mikiah Herbert Harrigan,1630114.0,Arc3,1611661317,4,Natasha Mack,1630442,31,02:54,1630114,Mikiah Herbert Harrigan,1642299,Nika Mühl,0,,0,,True,-17,1.0,12.1,0.3123,159.0,ShortMidRange,2,174.0,OffArc3Miss,PHO,02:39,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/470/f5586444-78d6-d2d5-fc75-6d3caaa9bb11_960x540.mp4,100,68
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,4,,,,,,False,1611661328,159.0,468,2024-09-19,1022400240,1628881-1630114-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-1641651-1642299,,,,,,1611661317,4,Mikiah Herbert Harrigan,1630114,31,02:54,1630114,Mikiah Herbert Harrigan,1642299,Nika Mühl,0,,0,,False,-17,,24.6,0.3871,164.0,Arc3,3,174.0,OffArc3Miss,PHO,02:44,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/468/98aaabb7-3ae9-9f76-dae6-eac4af84a9eb_960x540.mp4,207,132
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,5,,,,,,False,1611661328,206.0,448,2024-09-19,1022400240,1628881-1630114-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-1641651-1642299,,,,,,1611661317,4,Mikiah Herbert Harrigan,1630114,27,03:36,1628881,Monique Billings,1630115,Joyner Holmes,0,,0,,False,-19,,24.3,0.3844,208.0,Arc3,3,216.0,OffCorner3Miss,PHO,03:28,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/448/d26e3a55-d9f7-4164-47d9-3e1fe469a727_960x540.mp4,174,170
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,6,,,,,,False,1611661328,375.0,414,2024-09-19,1022400240,1628881-1630114-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-1641651-1642299,,,,,,1611661317,4,Mikiah Herbert Harrigan,1630114,15,06:35,1630114,Mikiah Herbert Harrigan,1630115,Joyner Holmes,0,,0,,False,-16,,26.1,0.3562,387.0,Arc3,3,395.0,OffCorner3Miss,PHO,06:27,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/414/d7ab502e-7f96-0d05-445f-ad3aaa37932a_960x540.mp4,143,218
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,7,,,,,,False,1611661328,581.0,379,2024-09-19,1022400240,1628881-1630114-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-1641651-1642299,,,,,,1611661317,4,Celeste Taylor,1642298,1,10:00,0,,0,,0,,0,,False,-19,,14.9,0.3203,586.0,LongMidRange,2,600.0,OffDeadball,PHO,09:46,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/379/041ffd7e-4721-8747-5dbb-47ed95d0f1ed_960x540.mp4,-115,95
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,8,,,,,,False,1611661328,11.0,370,2024-09-19,1022400240,1628881-1630114-1630442-1631056-1642298,False,SEA,1628927-1628931-1630115-1641651-1642299,,,,,,1611661317,3,Mikiah Herbert Harrigan,1630114,40,00:32,0,,1628931,Gabby Williams,0,,0,,False,-21,,18.5,0.3007,14.0,LongMidRange,2,32.0,OffArc3Make,PHO,00:14,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/370/2cde8a31-8b97-003e-7abc-27b4958cf5bc_960x540.mp4,-61,175
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,9,,,,,,False,1611661328,118.0,343,2024-09-19,1022400240,1627674-1628881-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-203014-203400,,,,,,1611661317,3,Celeste Taylor,1642298,34,02:17,0,,203400,Skylar Diggins-Smith,0,,0,,False,-20,,23.2,0.4135,122.0,Corner3,3,137.0,OffAtRimMake,PHO,02:02,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/343/750c6c46-d6c5-ba6a-3fe6-25815d5c74c1_960x540.mp4,232,11
wnba,wnba_shot_pace,shot_pace,shots,get-shots,2024,Regular Season,team,"{'EntityType': 'Team', 'StartType': 'All', 'Blocked': False, 'Season': '2024', 'SeasonType': 'Regular Season', 'EntityId': '1611661317'}",shot_pace,1611661317,4Q/OT | margin -3..3 | 300..120,get-shots__shots__entity_type-Team__start_type-All__blocked-False__season-2024__season_type-Regular_Season__entity_id-1611661317__d9d42e7a,get-shots,https://api.pbpstats.com/get-shots/wnba?EntityType=Team&StartType=All&Blocked=False&Season=2024&SeasonType=Regular+Season&EntityId=1611661317,200,10,,,,,,False,1611661328,139.0,339,2024-09-19,1022400240,1627674-1628881-1630442-1631056-1642298,False,SEA,1628244-1628927-1630115-203014-203400,,,,,,1611661317,3,Celeste Taylor,1642298,32,02:27,1642298,Celeste Taylor,1628244,Sami Whitcomb,0,,0,,False,-18,,15.8,0.4089,144.0,LongMidRange,2,147.0,OffArc3Miss,PHO,02:24,https://videos.nba.com/wnba/pbp/media/2024/09/19/1022400240/339/448f14b5-de24-544b-ad5f-35c7cf4504f8_960x540.mp4,140,74
