league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,request_id,request_table,request_url,request_status,request_row_index,game_id,date,home_team_id,away_team_id,home_points,away_points,home_possessions,away_possessions,home_team_abbreviation,away_team_abbreviation
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,0,1022600001,2026-05-08,1611661313,1611661323,106,75,87,88,NYL,CON
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,1,1022600002,2026-05-08,1611661332,1611661322,65,68,80,81,TOR,WAS
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,2,1022600003,2026-05-08,1611661328,1611661331,80,91,74,75,SEA,GSV
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,3,1022600004,2026-05-09,1611661325,1611661321,104,107,88,88,IND,DAL
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,4,1022600005,2026-05-09,1611661319,1611661317,66,99,82,82,LVA,PHX
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,5,1022600006,2026-05-09,1611661327,1611661329,83,98,82,80,PDX,CHI
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,6,1022600010,2026-05-09,1611661324,1611661330,90,91,84,86,MIN,ATL
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,7,1022600007,2026-05-10,1611661323,1611661328,82,89,85,85,CON,SEA
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,8,1022600008,2026-05-10,1611661322,1611661313,93,98,84,87,WAS,NYL
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,9,1022600009,2026-05-10,1611661320,1611661319,78,105,83,82,LAS,LVA
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,10,1022600011,2026-05-10,1611661331,1611661317,95,79,75,76,GSV,PHX
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,11,1022600012,2026-05-12,1611661321,1611661330,72,77,76,76,DAL,ATL
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,12,1022600013,2026-05-12,1611661317,1611661324,84,88,81,79,PHX,MIN
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2026,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2026'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2026__1dfc64c6,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2026,200,13,1022600014,2026-05-12,1611661327,1611661313,98,96,79,78,PDX,NYL
