league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,clutch_window,request_id,request_table,request_url,request_status,request_row_index,afg2m,afg3m,dead_ball_tos,efg,fg2a,fg2m,fg2m_assist_pct,fg2pct,fg3a,fg3m,fg3m_assist_pct,fg3pct,ftm,live_ball_tos,off_poss,oreb_opps,oreb_pct,orebs,ortg,points,putbacks,take_fouls_drawn,team_id,team_name,three_pt_and1s,three_pt_sfd,to_pct,two_pt_and1s,two_pt_sfd,ufg2m,ufg3m,is_playoffs,job_variant,window_label,request_scope
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,0,10,3,3,0.483870967741935,48,24,0.416666666666667,0.5,14,4,0.75,0.285714285714286,9,10,73,34,0.294117647058824,10,0.945205479452055,69,2,0,1611661328,SEA,0,0,0.178082191780822,0,7,14,1,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,1,5,4,3,0.5,22,11,0.454545454545455,0.5,12,4,1.0,0.333333333333333,15,3,39,19,0.421052631578947,8,1.25641025641026,49,0,0,1611661313,NYL,0,0,0.153846153846154,4,7,6,0,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,2,11,0,2,0.586206896551724,27,17,0.647058823529412,0.62962962962963,2,0,,0.0,1,3,30,12,0.416666666666667,5,1.16666666666667,35,1,0,1611661329,CHI,0,0,0.166666666666667,0,0,6,0,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,3,0,1,4,0.421052631578947,12,5,0.0,0.416666666666667,7,2,0.5,0.285714285714286,13,3,28,10,0.4,4,1.03571428571429,29,1,0,1611661323,CON,0,0,0.25,0,6,5,1,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,4,5,7,4,0.565789473684211,22,11,0.454545454545455,0.5,16,7,1.0,0.4375,9,4,41,19,0.473684210526316,9,1.26829268292683,52,0,0,1611661321,DAL,0,0,0.195121951219512,3,7,6,0,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,5,10,6,5,0.597826086956522,32,17,0.588235294117647,0.53125,14,7,0.857142857142857,0.5,20,3,54,21,0.428571428571429,9,1.38888888888889,75,2,0,1611661330,ATL,0,1,0.148148148148148,3,11,7,1,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,6,20,6,4,0.546666666666667,57,32,0.625,0.56140350877193,18,6,1.0,0.333333333333333,17,1,72,37,0.405405405405405,15,1.375,99,3,0,1611661320,LAS,0,0,0.0694444444444444,6,10,12,0,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,7,9,9,7,0.556451612903226,40,21,0.428571428571429,0.525,22,9,1.0,0.409090909090909,7,3,67,32,0.34375,11,1.13432835820896,76,3,0,1611661317,PHX,0,0,0.149253731343284,2,6,12,0,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,8,8,2,3,0.589285714285714,22,12,0.666666666666667,0.545454545454545,6,3,0.666666666666667,0.5,11,0,34,13,0.153846153846154,2,1.29411764705882,44,0,0,1611661319,LVA,0,0,0.0882352941176471,1,5,4,1,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,9,8,5,12,0.445454545454545,36,17,0.470588235294118,0.472222222222222,19,5,1.0,0.263157894736842,9,9,67,31,0.32258064516129,10,0.865671641791045,58,2,0,1611661331,GSV,0,0,0.313432835820896,4,5,9,0,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,10,7,2,2,0.544117647058823,24,14,0.5,0.583333333333333,10,3,0.666666666666667,0.3,11,4,40,17,0.352941176470588,6,1.2,48,1,0,1611661325,IND,0,1,0.15,3,8,7,1,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_shot_pace,shot_pace,score_time_summary,get-score-time-summary,2025,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2025', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-score-time-summary__score_time_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2025__season_type-Regular_Season__0c4da3b7,get-score-time-summary,https://api.pbpstats.com/get-score-time-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2025&SeasonType=Regular+Season,200,11,8,4,3,0.569444444444444,26,13,0.615384615384615,0.5,10,5,0.8,0.5,4,5,42,18,0.388888888888889,7,1.07142857142857,45,2,0,1611661324,MIN,0,0,0.19047619047619,0,3,5,1,False,score_time_summary,4Q/OT | margin -3..3 | 300..120,season
