league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,clutch_window,request_id,request_table,request_url,request_status,request_row_index,ab3_fg_pct,ab3_fga,ab3_fgm,afg2m,afg2pct,afg3m,afg3pct,c3_fg_pct,c3_fga,c3_fgm,efg,fg2a,fg2m,fg2pct,fg3a,fg3m,fg3pct,fga,lmr_fg_pct,lmr_fga,lmr_fgm,name,putback_fg_pct,putback_fga,putback_fgm,rim_fg_pct,rim_fga,rim_fgm,smr_fg_pct,smr_fga,smr_fgm,team_id,is_playoffs,job_variant,window_label,request_scope
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,0,0.5,12,6,16,0.761904761904762,6,0.75,0.4,5,2,0.733333333333333,28,21,0.75,17,8,0.470588235294118,45,0.75,4,3,IND,1.0,2,2,0.7,20,14,1.0,4,4,1611661325,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,1,0.0909090909090909,11,1,5,0.555555555555556,2,1.0,0.5,2,1,0.333333333333333,23,9,0.391304347826087,13,2,0.153846153846154,36,0.0,2,0,WAS,0.0,1,0,0.75,8,6,0.230769230769231,13,3,1611661322,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,2,0.5,8,4,13,0.565217391304348,6,1.0,0.666666666666667,3,2,0.571428571428571,45,23,0.511111111111111,11,6,0.545454545454545,56,0.6,10,6,DAL,0.75,4,3,0.526315789473684,19,10,0.4375,16,7,1611661321,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,3,0.444444444444444,9,4,4,0.571428571428571,3,0.75,0.0,1,0,0.5,16,7,0.4375,10,4,0.4,26,0.285714285714286,7,2,LVA,,0,0,0.5,4,2,0.6,5,3,1611661319,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,4,0.333333333333333,12,4,13,0.65,4,0.8,0.25,4,1,0.4296875,48,20,0.416666666666667,16,5,0.3125,64,0.3,10,3,CON,0.25,4,1,0.545454545454545,22,12,0.3125,16,5,1611661323,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,5,0.3,10,3,8,0.5,2,0.666666666666667,0.0,1,0,0.602941176470588,23,16,0.695652173913043,11,3,0.272727272727273,34,0.857142857142857,7,6,PHO,,0,0,0.875,8,7,0.375,8,3,1611661317,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,6,0.142857142857143,7,1,5,0.263157894736842,2,1.0,1.0,1,1,0.349206349206349,55,19,0.345454545454545,8,2,0.25,63,0.5,4,2,CHI,0.555555555555556,9,5,0.416666666666667,24,10,0.259259259259259,27,7,1611661329,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,7,0.230769230769231,13,3,9,0.642857142857143,3,1.0,0.0,2,0,0.528571428571429,20,14,0.7,15,3,0.2,35,0.75,4,3,NYL,1.0,2,2,1.0,7,7,0.444444444444444,9,4,1611661313,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,8,0.6,10,6,13,0.541666666666667,6,0.75,0.2,10,2,0.6,40,24,0.6,20,8,0.4,60,0.4,10,4,ATL,0.0,1,0,0.8,15,12,0.533333333333333,15,8,1611661330,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,9,0.214285714285714,14,3,10,0.555555555555556,5,1.0,0.5,4,2,0.520408163265306,31,18,0.580645161290323,18,5,0.277777777777778,49,0.0,2,0,LAS,,0,0,0.761904761904762,21,16,0.25,8,2,1611661320,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
wnba,wnba_current_season_shot_pace,shot_pace,shot_query_summary,get-shot-query-summary,2024,Regular Season,season,"{'Type': 'Team', 'FromMargin': -3, 'ToMargin': 3, 'FromTime': 300, 'ToTime': 120, 'PeriodGte': 4, 'Season': '2024', 'SeasonType': 'Regular Season'}",shot_pace,4Q/OT | margin -3..3 | 300..120,get-shot-query-summary__shot_query_summary__type-Team__from_margin--3__to_margin-3__from_time-300__to_time-120__period_gte-4__season-2024__season_type-Regular_Season__44f5a5b5,get-shot-query-summary,https://api.pbpstats.com/get-shot-query-summary/wnba?Type=Team&FromMargin=-3&ToMargin=3&FromTime=300&ToTime=120&PeriodGte=4&Season=2024&SeasonType=Regular+Season,200,10,0.166666666666667,6,1,3,0.272727272727273,2,1.0,1.0,1,1,0.518518518518518,20,11,0.55,7,2,0.285714285714286,27,0.5,2,1,SEA,,0,0,0.6,10,6,0.5,8,4,1611661328,False,shot_query_summary,4Q/OT | margin -3..3 | 300..120,season
