league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,entity_id,name,short_name,seconds_played,plus_minus,off_poss,penalty_off_poss,second_chance_off_poss,total_poss,at_rim_fgm,at_rim_fga,second_chance_at_rim_fgm,second_chance_at_rim_fga,long_mid_range_fga,arc3_fgm,arc3_fga,fg2m,fg2a,fg3m,fg3a,points,second_chance_fg2_m,second_chance_fg2_a,second_chance_points,pts_assisted2s,pts_assisted3s,non_heave_arc3_fga,non_heave_arc3_fgm,fg2a_blocked,two_pt_assists,assists,at_rim_assists,short_mid_range_assists,assist_points,off_three_pt_rebounds,off_two_pt_rebounds,off_rebounds,rebounds,dead_ball_turnovers,travels,turnovers,fouls_drawn,penalty_off_poss_excluding_take_fouls,assisted2s_pct,non_putbacks_assisted2s_pct,assisted3s_pct,fg3_pct,non_heave_fg3_pct,fg2_pct,second_chance_fg2_pct,efg_pct,second_chance_efg_pct,ts_pct,second_chance_ts_pct,fg3_a_pct,fg2_a_pct_blocked,at_rim_pct_blocked,usage,off_two_pt_rebound_pct,off_three_pt_rebound_pct,off_fg_rebound_pct,off_short_mid_range_rebound_pct,off_arc3_rebound_pct,at_rim_frequency,at_rim_accuracy,unblocked_at_rim_accuracy,at_rim_pct_assisted,long_mid_range_frequency,arc3_frequency,arc3_accuracy,unblocked_arc3_accuracy,arc3_pct_assisted,second_chance_at_rim_frequency,second_chance_at_rim_accuracy,second_chance_at_rim_pct_assisted,at_rim_fg3_a_frequency,non_heave_arc3_accuracy,shot_quality_avg,second_chance_shot_quality_avg,second_chance_points_pct,avg2pt_shot_distance,avg3pt_shot_distance,penalty_off_poss_pct,is_playoffs,job_variant,window_label,request_scope,penalty_at_rim_fga,short_mid_range_fgm,short_mid_range_fga,long_mid_range_fgm,corner3_fgm,corner3_fga,second_chance_corner3_fga,second_chance_arc3_fga,penalty_arc3_fga,ft_points,second_chance_fg3_a,penalty_fg2_a,penalty_fg3_a,pts_unassisted2s,three_pt_assists,arc3_assists,long_mid_range_assists,self_o_reb,live_ball_turnovers,bad_pass_turnovers,lost_ball_out_of_bounds_turnovers,lost_ball_turnovers,second_chance_turnovers,penalty_turnovers,fouls,offensive fouls,loose ball fouls drawn,fta,2pt and 1 free throw trips,two_pt_shooting_fouls_drawn,short_mid_range_pct_blocked,live_ball_turnover_pct,off_at_rim_rebound_pct,self_o_reb_pct,short_mid_range_frequency,short_mid_range_accuracy,unblocked_short_mid_range_accuracy,short_mid_range_pct_assisted,long_mid_range_accuracy,unblocked_long_mid_range_accuracy,long_mid_range_pct_assisted,corner3_frequency,corner3_accuracy,unblocked_corner3_accuracy,corner3_pct_assisted,second_chance_corner3_frequency,second_chance_arc3_frequency,penalty_at_rim_frequency,penalty_arc3_frequency,penalty_shot_quality_avg,shooting_fouls_drawn_pct,two_pt_shooting_fouls_drawn_pct,second_chance_ft_points,bad_pass_out_of_bounds_turnovers,step_out_of_bounds_turnovers,three_pt_shooting_fouls_drawn,three_pt_shooting_fouls_drawn_pct,penalty_at_rim_fgm,penalty_fg2_m,penalty_points,ft_off_rebounds,penalty_points_excluding_take_fouls,penalty_fg2_pct,penalty_efg_pct,penalty_ts_pct,off_ft_rebound_pct,off_long_mid_range_rebound_pct,penalty_at_rim_accuracy,penalty_points_pct,penalty_ft_points,pts_unassisted3s,corner3_assists,non_shooting_fouls_drawn,non_shooting_penalty_non_take_fouls_drawn,penalty_arc3_fgm,penalty_fg3_m,penalty_fg3_pct,penalty_arc3_accuracy,3_second_violations
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,0,1627701,Temi Fagbenle,Temi Fagbenle,1432.0,96,97,7.0,11.0,97,3.0,5.0,1.0,2.0,2.0,1.0,2.0,3.0,7.0,1.0,2.0,9.0,1.0,3.0,2.0,6.0,3.0,2.0,1.0,1.0,4.0,4.0,3.0,1.0,8.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.5,0.5,0.42857142857142855,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.2222222222222222,0.14285714285714285,0.2,8.928571428571427,0.08695652173913043,0.041666666666666664,0.06382978723404255,0.3333333333333333,0.043478260869565216,0.5555555555555556,0.6,0.75,1.0,0.2222222222222222,0.2222222222222222,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,0.7777777777777778,0.5,0.5715055555555556,0.47375,0.2222222222222222,6.385714285714286,25.0,0.07216494845360824,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,1,1628909,Kelsey Mitchell,Kelsey Mitchell,2268.0,146,152,9.0,18.0,152,7.0,10.0,1.0,1.0,5.0,3.0,15.0,11.0,19.0,5.0,19.0,38.0,1.0,1.0,2.0,18.0,15.0,15.0,3.0,2.0,6.0,8.0,4.0,1.0,18.0,2.0,1.0,3.0,3.0,4.0,,9.0,5.0,9.0,0.8181818181818182,0.8181818181818182,1.0,0.2631578947368421,0.2631578947368421,0.5789473684210527,1.0,0.4868421052631579,0.3333333333333333,0.5,0.3333333333333333,0.5,0.10526315789473684,0.1,26.857142857142858,0.027777777777777776,0.05128205128205128,0.04,,0.05714285714285714,0.2631578947368421,0.7,0.7777777777777778,0.7142857142857143,0.13157894736842105,0.39473684210526316,0.2,0.2,1.0,0.3333333333333333,1.0,1.0,0.7631578947368421,0.2,0.526607894736842,,0.05263157894736842,6.884210526315789,24.710526315789476,0.05921052631578947,True,possessions,4Q/OT | margin -3..3 | 300..120,team,1.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.25,0.5555555555555556,0.058823529411764705,0.05263157894736842,0.10526315789473684,0.5,0.6666666666666666,1.0,0.4,0.4,1.0,0.10526315789473684,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.47295,0.05263157894736842,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,2,1631086,Lexie Hull,Lexie Hull,1481.0,96,99,,11.0,99,1.0,2.0,,,,,2.0,2.0,4.0,,4.0,8.0,,,3.0,4.0,,2.0,,1.0,3.0,4.0,2.0,1.0,9.0,4.0,,4.0,4.0,3.0,,3.0,2.0,,1.0,1.0,,,,0.5,,0.25,,0.4,0.75,0.5,0.25,,11.607142857142856,,0.14285714285714285,0.0784313725490196,,0.16,0.25,0.5,0.5,1.0,,0.25,,,,,,,0.75,,0.5341125,0.58635,0.375,6.275,24.075000000000003,,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,1.0,2.0,,,2.0,,1.0,,4.0,1.0,,,,1.0,1.0,,,,,,,,,,,,5.0,,1.0,0.5,,,,0.25,0.5,1.0,1.0,,,,0.25,,,,,1.0,,,,0.2,0.2,3.0,2.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,3,1641648,Aliyah Boston,Aliyah Boston,1859.0,127,125,6.0,15.0,125,13.0,18.0,1.0,3.0,2.0,,,15.0,26.0,,,33.0,1.0,4.0,4.0,28.0,,,,2.0,5.0,6.0,2.0,3.0,13.0,1.0,4.0,6.0,6.0,2.0,2.0,4.0,5.0,6.0,0.9333333333333333,0.9333333333333333,,,,0.5769230769230769,0.25,0.5769230769230769,0.25,0.6111111111111112,0.4,,0.07692307692307693,0.1111111111111111,21.379310344827587,0.14814814814814814,0.02857142857142857,0.08064516129032258,,0.03225806451612903,0.6923076923076923,0.7222222222222222,0.8125,0.9230769230769231,0.07692307692307693,,,,,0.75,0.3333333333333333,1.0,0.6923076923076923,,0.5776423076923076,0.554575,0.12121212121212122,4.31923076923077,,0.048,True,possessions,4Q/OT | margin -3..3 | 300..120,team,1.0,1.0,6.0,1.0,,,,,,3.0,,2.0,,2.0,1.0,1.0,,1.0,2.0,,,2.0,1.0,,,,1.0,4.0,2.0,3.0,,0.5,0.23076923076923078,0.1111111111111111,0.23076923076923078,0.16666666666666666,0.16666666666666666,1.0,0.5,0.5,1.0,,,,,,,0.5,,0.46675,0.1111111111111111,0.1111111111111111,2.0,,,,,1.0,1.0,2.0,1.0,2.0,0.5,0.5,0.5,0.5,0.2,1.0,0.06060606060606061,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,4,1642286,Caitlin Clark,Caitlin Clark,2243.0,145,150,9.0,18.0,150,6.0,9.0,,,3.0,5.0,25.0,9.0,15.0,5.0,25.0,36.0,,,,,3.0,25.0,5.0,2.0,13.0,17.0,12.0,,38.0,,1.0,1.0,1.0,1.0,,5.0,3.0,9.0,,,0.2,0.2,0.2,0.6,,0.4125,,0.42857142857142855,,0.625,0.13333333333333333,0.1111111111111111,27.167630057803468,0.02857142857142857,,0.013513513513513514,0.09090909090909091,,0.225,0.6666666666666666,0.75,,0.075,0.625,0.2,0.2,0.2,,,,0.85,0.2,0.5106825,0.4794,,5.8999999999999995,26.763999999999996,0.06,True,possessions,4Q/OT | margin -3..3 | 300..120,team,1.0,1.0,3.0,2.0,,,,1.0,,3.0,1.0,1.0,,18.0,4.0,2.0,1.0,1.0,4.0,3.0,,1.0,,,,,,4.0,,1.0,0.3333333333333333,0.8,,0.043478260869565216,0.075,0.3333333333333333,0.5,,0.6666666666666666,0.6666666666666666,,,,,,,1.0,1.0,,0.5937,0.024390243902439025,0.0625,,,1.0,,,1.0,1.0,4.0,,4.0,1.0,1.0,1.0,,,1.0,0.1111111111111111,2.0,12.0,2.0,1.0,1.0,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,5,203024,Damiris Dantas,Damiris Dantas,948.0,54,62,5.0,7.0,62,2.0,3.0,,1.0,,2.0,5.0,4.0,7.0,2.0,5.0,16.0,1.0,2.0,2.0,8.0,6.0,5.0,2.0,1.0,,1.0,,,3.0,,,,,,,1.0,1.0,5.0,1.0,1.0,1.0,0.4,0.4,0.5714285714285714,0.5,0.5833333333333334,0.5,0.6153846153846154,0.5,0.4166666666666667,0.14285714285714285,,20.0,,,,,,0.25,0.6666666666666666,0.6666666666666666,1.0,,0.4166666666666667,0.4,0.4,1.0,0.5,,,0.6666666666666666,0.4,0.4686333333333333,0.717,0.125,5.757142857142858,26.24,0.08064516129032258,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,2.0,4.0,,,,,,1.0,2.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,2.0,,1.0,0.25,1.0,,,0.3333333333333333,0.5,0.6666666666666666,1.0,,,,,,,,,,,1.0,0.4569,0.07692307692307693,0.125,,,,,,,,3.0,,3.0,,1.5,1.5,,,,0.1875,,,,,,1.0,1.0,1.0,1.0,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,6,204365,Erica Wheeler,Erica Wheeler,795.0,55,55,9.0,6.0,55,,,,,,,,,,,,3.0,,,,,,,,,2.0,3.0,1.0,,7.0,,,,,1.0,,1.0,2.0,9.0,,,,,,,,,,0.75,,,,,4.6875,,,,,,,,,,,,,,,,,,,,,,,,,0.16363636363636364,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,,,,,,,,3.0,,,,,1.0,1.0,1.0,,,,,,,,,,,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,7,1631019,NaLyssa Smith,NaLyssa Smith,412.0,21,27,,3.0,27,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,2.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,10.0,,0.2857142857142857,0.125,,0.3333333333333333,1.0,,,,,,,,,,,,1.0,,0.7186,,,1.9,,,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,8,1628929,Kristy Wallace,Kristy Wallace,51.0,2,3,,,3,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.333333333333336,,,,,,,,,,,,,,,,,,,,0.3981,,,12.8,,,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,9,1629478,Katie Lou Samuelson,Katie Lou Samuelson,164.0,4,9,,1.0,9,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,0.2866,,,6.2,,,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661325'}",shot_pace,1611661325,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661325__79b082bc,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661325,200,10,1641658,Grace Berger,Grace Berger,51.0,2,3,,,3,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
