league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,team_id,clutch_window,request_id,request_table,request_url,request_status,request_row_index,entity_id,name,short_name,seconds_played,plus_minus,off_poss,penalty_off_poss,second_chance_off_poss,total_poss,at_rim_fga,short_mid_range_fgm,short_mid_range_fga,corner3_fgm,corner3_fga,second_chance_corner3_fga,penalty_corner3_fgm,penalty_corner3_fga,arc3_fgm,arc3_fga,penalty_arc3_fgm,penalty_arc3_fga,fg2m,fg2a,fg3m,fg3a,ft_points,points,second_chance_fg3_a,penalty_fg3_m,penalty_fg3_a,penalty_ft_points,penalty_points,pts_assisted2s,pts_unassisted2s,pts_assisted3s,non_heave_arc3_fga,non_heave_arc3_fgm,fg2a_blocked,two_pt_assists,three_pt_assists,assists,arc3_assists,short_mid_range_assists,assist_points,off_three_pt_rebounds,off_two_pt_rebounds,off_rebounds,rebounds,live_ball_turnovers,bad_pass_turnovers,dead_ball_turnovers,lost_ball_out_of_bounds_turnovers,lost_ball_turnovers,turnovers,fouls,offensive fouls,fouls_drawn,fta,two_pt_shooting_fouls_drawn,non_shooting_fouls_drawn,penalty_points_excluding_take_fouls,penalty_off_poss_excluding_take_fouls,non_shooting_penalty_non_take_fouls_drawn,assisted2s_pct,non_putbacks_assisted2s_pct,assisted3s_pct,fg3_pct,penalty_fg3_pct,non_heave_fg3_pct,fg2_pct,efg_pct,penalty_efg_pct,ts_pct,penalty_ts_pct,fg3_a_pct,fg2_a_pct_blocked,short_mid_range_pct_blocked,usage,live_ball_turnover_pct,off_two_pt_rebound_pct,off_three_pt_rebound_pct,off_fg_rebound_pct,off_short_mid_range_rebound_pct,off_corner3_rebound_pct,at_rim_frequency,short_mid_range_frequency,short_mid_range_accuracy,unblocked_short_mid_range_accuracy,short_mid_range_pct_assisted,corner3_frequency,corner3_accuracy,unblocked_corner3_accuracy,corner3_pct_assisted,arc3_frequency,arc3_accuracy,unblocked_arc3_accuracy,arc3_pct_assisted,second_chance_corner3_frequency,penalty_corner3_frequency,penalty_corner3_accuracy,penalty_arc3_frequency,penalty_arc3_accuracy,at_rim_fg3_a_frequency,non_heave_arc3_accuracy,shot_quality_avg,second_chance_shot_quality_avg,penalty_shot_quality_avg,shooting_fouls_drawn_pct,two_pt_shooting_fouls_drawn_pct,penalty_points_pct,avg2pt_shot_distance,avg3pt_shot_distance,penalty_off_poss_pct,is_playoffs,job_variant,window_label,request_scope,at_rim_fgm,long_mid_range_fgm,long_mid_range_fga,second_chance_fg2_m,second_chance_fg2_a,second_chance_points,penalty_fg2_m,penalty_fg2_a,pts_unassisted3s,corner3_assists,at_rim_assists,bad_pass_out_of_bounds_turnovers,travels,second_chance_turnovers,penalty_turnovers,2pt and 1 free throw trips,second_chance_fg2_pct,penalty_fg2_pct,second_chance_efg_pct,second_chance_ts_pct,off_long_mid_range_rebound_pct,at_rim_accuracy,unblocked_at_rim_accuracy,at_rim_pct_assisted,long_mid_range_frequency,long_mid_range_accuracy,unblocked_long_mid_range_accuracy,long_mid_range_pct_assisted,second_chance_points_pct,second_chance_arc3_fgm,second_chance_arc3_fga,second_chance_fg3_m,fg3a_blocked,long_mid_range_assists,ft_off_rebounds,technical free throw trips,second_chance_fg3_pct,fg3_a_pct_blocked,long_mid_range_pct_blocked,arc3_pct_blocked,off_ft_rebound_pct,second_chance_arc3_frequency,second_chance_arc3_accuracy,second_chance_arc3_pct_assisted,second_chance_at_rim_fgm,second_chance_at_rim_fga,penalty_at_rim_fgm,penalty_at_rim_fga,second_chance_ft_points,pts_putbacks,self_o_reb,loose ball fouls drawn,off_at_rim_rebound_pct,off_arc3_rebound_pct,self_o_reb_pct,second_chance_at_rim_frequency,second_chance_at_rim_accuracy,second_chance_at_rim_pct_assisted,penalty_at_rim_frequency,penalty_at_rim_accuracy,second_chance_corner3_fgm,second_chance_corner3_accuracy,second_chance_corner3_pct_assisted
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,0,202252,Alysha Clark,Alysha Clark,4595.0,300,291,43.0,34,291,1.0,6.0,14.0,3.0,9.0,1.0,1.0,2.0,3.0,9.0,1.0,1.0,6.0,15.0,6.0,18.0,6.0,36.0,1.0,2.0,3.0,4.0,10.0,10.0,2.0,18.0,9.0,3.0,1.0,7.0,5.0,12.0,5.0,7.0,29.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,8.0,6.0,2.0,1.0,10.0,43.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4,0.45454545454545453,1.0,0.5,1.0,0.5454545454545454,0.06666666666666667,0.07142857142857142,12.084592145015106,0.5,0.024096385542168676,0.029411764705882353,0.026490066225165563,0.03125,0.08333333333333333,0.030303030303030304,0.42424242424242425,0.42857142857142855,0.46153846153846156,0.8333333333333334,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,0.5757575757575758,0.3333333333333333,0.5029484848484849,0.5612999999999999,0.53415,0.05714285714285714,0.11764705882352941,0.2777777777777778,5.473333333333333,24.37222222222222,0.14776632302405499,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,1,203833,Chelsea Gray,Chelsea Gray,5825.0,391,362,60.0,40,362,2.0,7.0,21.0,1.0,4.0,,,,7.0,24.0,,4.0,15.0,32.0,8.0,28.0,9.0,63.0,,,4.0,,2.0,10.0,20.0,21.0,24.0,7.0,3.0,24.0,13.0,37.0,9.0,21.0,87.0,,2.0,2.0,2.0,11.0,11.0,6.0,1.0,,17.0,,,9.0,11.0,6.0,,2.0,60.0,,0.3333333333333333,0.3333333333333333,0.875,0.2857142857142857,,0.2857142857142857,0.46875,0.45,0.2,0.4846153846153846,0.2,0.4666666666666667,0.09375,0.14285714285714285,20.19704433497537,0.6470588235294118,0.020618556701030927,,0.011299435028248588,0.012658227848101266,,0.03333333333333333,0.35,0.3333333333333333,0.3888888888888889,0.42857142857142855,0.06666666666666667,0.25,0.25,1.0,0.4,0.2916666666666667,0.2916666666666667,0.8571428571428571,,,,0.8,,0.5,0.2916666666666667,0.43880916666666686,0.3546666666666667,0.39064,0.09230769230769231,0.16216216216216217,0.031746031746031744,11.024999999999999,26.05714285714285,0.16574585635359115,True,possessions,4Q/OT | margin -3..3 | 300..120,team,1.0,7.0,9.0,1.0,4.0,2.0,1.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0,0.25,1.0,0.25,0.2,0.09090909090909091,0.5,0.5,1.0,0.15,0.7777777777777778,0.7777777777777778,0.14285714285714285,0.031746031746031744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,2,1628276,Kelsey Plum,Kelsey Plum,5831.0,399,376,57.0,34,376,12.0,12.0,22.0,4.0,10.0,1.0,1.0,2.0,10.0,29.0,3.0,8.0,21.0,37.0,14.0,39.0,14.0,98.0,5.0,4.0,10.0,4.0,24.0,16.0,26.0,33.0,29.0,10.0,4.0,9.0,4.0,13.0,4.0,5.0,30.0,,,1.0,1.0,5.0,4.0,6.0,2.0,1.0,11.0,,,15.0,18.0,7.0,2.0,24.0,57.0,2.0,0.38095238095238093,0.38095238095238093,0.7857142857142857,0.358974358974359,0.4,0.358974358974359,0.5675675675675675,0.5526315789473685,0.625,0.5773809523809523,0.631578947368421,0.5131578947368421,0.10810810810810811,0.13636363636363635,22.83653846153846,0.45454545454545453,,,,,,0.15789473684210525,0.2894736842105263,0.5454545454545454,0.631578947368421,0.25,0.13157894736842105,0.4,0.4,1.0,0.3815789473684211,0.3448275862068966,0.35714285714285715,0.7,0.16666666666666666,0.125,0.5,0.5,0.375,0.6710526315789473,0.3448275862068966,0.48943749999999997,0.63055,0.503525,0.08536585365853659,0.16279069767441862,0.24489795918367346,5.472972972972973,25.343589743589746,0.15159574468085107,True,possessions,4Q/OT | margin -3..3 | 300..120,team,8.0,1.0,3.0,,1.0,3.0,4.0,6.0,9.0,,3.0,2.0,2.0,,1.0,1.0,,0.6666666666666666,0.25,0.25,,0.6666666666666666,0.6666666666666666,0.5,0.039473684210526314,0.3333333333333333,0.5,1.0,0.030612244897959183,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.2,0.02564102564102564,0.3333333333333333,0.034482758620689655,0.25,0.6666666666666666,0.25,1.0,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,3,1628932,A'ja Wilson,A'ja Wilson,6568.0,441,418,72.0,40,418,13.0,33.0,66.0,,1.0,,,,4.0,7.0,,,49.0,91.0,4.0,8.0,18.0,128.0,1.0,,,8.0,26.0,80.0,18.0,12.0,7.0,4.0,5.0,8.0,9.0,17.0,7.0,6.0,43.0,2.0,5.0,7.0,7.0,5.0,3.0,3.0,,2.0,8.0,1.0,1.0,21.0,24.0,10.0,3.0,26.0,72.0,3.0,0.8163265306122449,0.851063829787234,1.0,0.5,,0.5,0.5384615384615384,0.5555555555555556,0.5625,0.5818181818181818,0.6190476190476191,0.08080808080808081,0.054945054945054944,0.06060606060606061,25.431034482758623,0.625,0.043478260869565216,0.022988505747126436,0.034653465346534656,0.031578947368421054,,0.13131313131313133,0.6666666666666666,0.5,0.532258064516129,0.8484848484848485,0.010101010101010102,,,,0.0707070707070707,0.5714285714285714,0.5714285714285714,1.0,,,,,,0.21212121212121213,0.5714285714285714,0.4328136363636362,0.4423791666666667,0.4337937500000001,0.09345794392523364,0.10101010101010101,0.203125,8.194505494505494,24.775000000000002,0.1722488038277512,True,possessions,4Q/OT | margin -3..3 | 300..120,team,11.0,5.0,12.0,8.0,13.0,22.0,9.0,16.0,,2.0,1.0,1.0,1.0,,3.0,2.0,0.6153846153846154,0.5625,0.6785714285714286,0.6875,,0.8461538461538461,0.8461538461538461,0.7272727272727273,0.12121212121212122,0.4166666666666667,0.45454545454545453,0.8,0.171875,1.0,1.0,1.0,,1.0,,,1.0,,0.08333333333333333,,,0.07142857142857142,1.0,1.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,0.2222222222222222,0.03225806451612903,0.07317073170731707,0.2857142857142857,0.5,1.0,0.3125,0.8,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,4,1629498,Jackie Young,Jackie Young,5563.0,366,349,56.0,30,349,7.0,9.0,28.0,1.0,6.0,,,,13.0,32.0,1.0,3.0,16.0,41.0,14.0,38.0,9.0,83.0,6.0,1.0,3.0,3.0,8.0,22.0,10.0,30.0,32.0,13.0,2.0,13.0,5.0,18.0,3.0,8.0,41.0,2.0,8.0,10.0,10.0,6.0,2.0,1.0,,4.0,7.0,,,10.0,11.0,5.0,2.0,8.0,56.0,1.0,0.6875,0.7857142857142857,0.7142857142857143,0.3684210526315789,0.3333333333333333,0.3684210526315789,0.3902439024390244,0.46835443037974683,0.3125,0.49404761904761907,0.4,0.4810126582278481,0.04878048780487805,0.07142857142857142,23.376623376623375,0.8571428571428571,0.07920792079207921,0.03076923076923077,0.060240963855421686,0.06172839506172839,,0.08860759493670886,0.35443037974683544,0.32142857142857145,0.34615384615384615,0.7777777777777778,0.0759493670886076,0.16666666666666666,0.16666666666666666,,0.4050632911392405,0.40625,0.41935483870967744,0.7692307692307693,,,,0.375,0.3333333333333333,0.569620253164557,0.40625,0.48472278481012643,0.5533333333333335,0.44916875,0.06097560975609756,0.11363636363636363,0.0963855421686747,7.2365853658536565,24.999999999999996,0.16045845272206305,True,possessions,4Q/OT | margin -3..3 | 300..120,team,4.0,3.0,6.0,3.0,7.0,16.0,1.0,5.0,12.0,2.0,3.0,,1.0,,,2.0,0.42857142857142855,0.2,0.5769230769230769,0.5714285714285714,,0.5714285714285714,0.5714285714285714,0.5,0.0759493670886076,0.5,0.5,0.6666666666666666,0.1927710843373494,3.0,6.0,3.0,1.0,2.0,,,0.5,0.02631578947368421,,0.03125,,0.46153846153846156,0.5,1.0,2.0,4.0,,,1.0,4.0,6.0,,0.3,0.0392156862745098,0.13043478260869565,0.3076923076923077,0.5,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,5,203026,Tiffany Hayes,Tiffany Hayes,3963.0,267,250,57.0,31,250,2.0,14.0,29.0,2.0,5.0,2.0,,1.0,4.0,7.0,,1.0,16.0,31.0,6.0,12.0,13.0,63.0,2.0,,2.0,6.0,8.0,8.0,24.0,18.0,7.0,4.0,3.0,12.0,5.0,17.0,3.0,4.0,39.0,4.0,4.0,9.0,9.0,4.0,4.0,2.0,1.0,,6.0,1.0,1.0,10.0,16.0,8.0,1.0,8.0,57.0,1.0,0.25,0.2857142857142857,1.0,0.5,,0.5,0.5161290322580645,0.5813953488372093,0.2,0.63,0.5,0.27906976744186046,0.0967741935483871,0.10344827586206896,19.310344827586206,0.6666666666666666,0.05555555555555555,0.07272727272727272,0.06299212598425197,0.06779661016949153,0.05555555555555555,0.046511627906976744,0.6744186046511628,0.4827586206896552,0.5384615384615384,0.2857142857142857,0.11627906976744186,0.4,0.4,1.0,0.16279069767441862,0.5714285714285714,0.5714285714285714,1.0,0.2857142857142857,0.2,,0.2,,0.32558139534883723,0.5714285714285714,0.46054069767441863,0.45020000000000004,0.47243,0.16326530612244897,0.21621621621621623,0.12698412698412698,4.880645161290322,24.716666666666665,0.228,True,possessions,4Q/OT | margin -3..3 | 300..120,team,2.0,,,4.0,5.0,13.0,1.0,3.0,,2.0,4.0,,,1.0,2.0,2.0,0.8,0.3333333333333333,0.7857142857142857,0.8125,,1.0,1.0,,,,,,0.20634920634920634,,,1.0,,4.0,1.0,,0.5,,,,0.1111111111111111,,,,1.0,1.0,,,2.0,4.0,3.0,1.0,,0.08108108108108109,0.16666666666666666,0.14285714285714285,1.0,,,,1.0,0.5,1.0
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,6,1629484,Megan Gustafson,Megan Gustafson,963.0,45,58,8.0,6,58,,1.0,2.0,,,,,,,3.0,,1.0,1.0,2.0,,3.0,,2.0,,,1.0,,,2.0,,,3.0,,1.0,,1.0,1.0,1.0,,3.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,8.0,,1.0,1.0,,,,,0.5,0.2,,0.2,,0.6,0.5,0.5,9.23076923076923,,,0.0625,0.03125,,,,0.4,0.5,1.0,1.0,,,,,0.6,,,,,,,1.0,,0.6,,0.5084799999999999,,0.57075,,,,5.1,26.066666666666666,0.13793103448275862,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.07692307692307693,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,7,202641,Sydney Colson,Sydney Colson,890.0,51,57,10.0,4,57,,,,,3.0,,,1.0,1.0,2.0,,,,1.0,1.0,5.0,1.0,4.0,,,1.0,,,,,3.0,2.0,1.0,,1.0,2.0,3.0,2.0,,8.0,,,,,4.0,4.0,,,,4.0,,,1.0,2.0,1.0,,,10.0,,,,1.0,0.2,,0.2,,0.25,,0.2857142857142857,,0.8333333333333334,,,17.741935483870968,1.0,,,,,,,,,,,0.5,,,,0.3333333333333333,0.5,0.5,1.0,,0.5,,,,0.8333333333333334,0.5,0.5069,,0.45855,0.14285714285714285,0.5,,16.8,24.48,0.17543859649122806,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,8,1631006,Kierstan Bell,Kierstan Bell,92.0,5,6,,1,6,,1.0,2.0,,,,,,,,,,1.0,2.0,,,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,0.5,,,0.5,0.5,28.57142857142857,,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,0.3245,0.3394,,,,,7.449999999999999,,,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,,1.0,1.0,2.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,9,1631031,Queen Egbo,Queen Egbo,92.0,5,6,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wnba,wnba_shot_pace,shot_pace,possessions,get-possessions,2024,Playoffs,team,"{'OffDef': 'Offense', 'FilterComparison': 'Exactly', 'FilterEvent': 'OnFloor', 'FilterValue': 5, 'StartType': 'All', 'Season': '2024', 'SeasonType': 'Playoffs', 'TeamId': '1611661319'}",shot_pace,1611661319,4Q/OT | margin -3..3 | 300..120,get-possessions__possessions__off_def-Offense__filter_comparison-Exactly__filter_event-OnFloor__filter_value-5__start_type-All__season-2024__season_type-Playoffs__team_id-1611661319__4274fbfa,get-possessions,https://api.pbpstats.com/get-possessions/wnba?OffDef=Offense&FilterComparison=Exactly&FilterEvent=OnFloor&FilterValue=5&StartType=All&Season=2024&SeasonType=Playoffs&TeamId=1611661319,200,10,1642324,Kate Martin,Kate Martin,72.0,5,6,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,possessions,4Q/OT | margin -3..3 | 300..120,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
