league,job_id,job_family,variant,endpoint,season,season_type,scope,request_params,source,request_id,request_table,request_url,request_status,request_row_index,game_id,date,home_team_id,away_team_id,home_points,away_points,home_possessions,away_possessions,home_team_abbreviation,away_team_abbreviation,is_playoffs,job_variant,request_scope
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,0,1022300001,2023-05-19,1611661325,1611661323,61,70,81,82,IND,CON,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,1,1022300002,2023-05-19,1611661322,1611661313,80,64,82,83,WAS,NYL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,2,1022300003,2023-05-19,1611661324,1611661329,66,77,78,80,MIN,CHI,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,3,1022300004,2023-05-19,1611661320,1611661317,94,71,80,80,LAS,PHO,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,4,1022300006,2023-05-20,1611661321,1611661330,85,78,86,85,DAL,ATL,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,5,1022300005,2023-05-20,1611661328,1611661319,64,105,86,86,SEA,LVA,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,6,1022300007,2023-05-21,1611661323,1611661322,80,74,83,83,CON,WAS,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,7,1022300008,2023-05-21,1611661313,1611661325,90,73,80,81,NYL,IND,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,8,1022300009,2023-05-21,1611661317,1611661329,69,75,79,79,PHO,CHI,False,season_team_catalog,season
wnba,wnba_current_season_league_discovery,league_discovery,season_team_catalog,get-games,2023,Regular Season,season,"{'SeasonType': 'Regular Season', 'Season': '2023'}",discovery,get-games__season_team_catalog__season_type-Regular_Season__season-2023__24e10791,get-games,https://api.pbpstats.com/get-games/wnba?SeasonType=Regular+Season&Season=2023,200,9,1022300010,2023-05-23,1611661322,1611661323,81,88,76,76,WAS,CON,False,season_team_catalog,season
