player_id,player_name,player_name_key,team_id,season,season_type,request_id,request_url,request_status,source_file,on_minutes,off_minutes,pts_per100_poss_on,pts_per100_poss_off,pts_per100_poss_on_off,assist_points_per100_poss_on,assist_points_per100_poss_off,assist_points_per100_poss_on_off,fta_per100_poss_on,fta_per100_poss_off,fta_per100_poss_on_off,turnovers_per100_poss_on,turnovers_per100_poss_off,turnovers_per100_poss_on_off,assists_per100_poss_on,assists_per100_poss_off,assists_per100_poss_on_off,ts_pct_on,ts_pct_off,ts_pct_on_off,efg_pct_on,efg_pct_off,efg_pct_on_off,fg3_pct_on,fg3_pct_off,fg3_pct_on_off,fg2_pct_on,fg2_pct_off,fg2_pct_on_off,usage_on,usage_off,usage_on_off,live_ball_turnover_pct_on,live_ball_turnover_pct_off,live_ball_turnover_pct_on_off,def_rebound_pct_on,def_rebound_pct_off,def_rebound_pct_on_off,off_rebound_pct_on,off_rebound_pct_off,off_rebound_pct_on_off,second_chance_points_pct_on,second_chance_points_pct_off,second_chance_points_pct_on_off,penalty_points_pct_on,penalty_points_pct_off,penalty_points_pct_on_off,penalty_off_poss_pct_on,penalty_off_poss_pct_off,penalty_off_poss_pct_on_off,avg2pt_shot_distance_on,avg2pt_shot_distance_off,avg2pt_shot_distance_on_off,avg3pt_shot_distance_on,avg3pt_shot_distance_off,avg3pt_shot_distance_on_off,shot_quality_avg_on,shot_quality_avg_off,shot_quality_avg_on_off,seconds_per_poss_off_on,seconds_per_poss_off_off,seconds_per_poss_off_on_off,seconds_per_poss_def_on,seconds_per_poss_def_off,seconds_per_poss_def_on_off,at_rim_frequency_on,at_rim_frequency_off,at_rim_frequency_on_off,at_rim_accuracy_on,at_rim_accuracy_off,at_rim_accuracy_on_off,at_rim_pct_assisted_on,at_rim_pct_assisted_off,at_rim_pct_assisted_on_off,arc3_frequency_on,arc3_frequency_off,arc3_frequency_on_off,arc3_accuracy_on,arc3_accuracy_off,arc3_accuracy_on_off,arc3_pct_assisted_on,arc3_pct_assisted_off,arc3_pct_assisted_on_off,corner3_frequency_on,corner3_frequency_off,corner3_frequency_on_off,corner3_accuracy_on,corner3_accuracy_off,corner3_accuracy_on_off,corner3_pct_assisted_on,corner3_pct_assisted_off,corner3_pct_assisted_on_off,shooting_fouls_drawn_pct_on,shooting_fouls_drawn_pct_off,shooting_fouls_drawn_pct_on_off,two_pt_shooting_fouls_drawn_pct_on,two_pt_shooting_fouls_drawn_pct_off,two_pt_shooting_fouls_drawn_pct_on_off,three_pt_shooting_fouls_drawn_pct_on,three_pt_shooting_fouls_drawn_pct_off,three_pt_shooting_fouls_drawn_pct_on_off,on_net_rating,off_net_rating,net_rating_diff,on_off_ortg_diff,on_off_drtg_diff,team_ts_diff,team_efg_diff,team_3pt_pct_diff,team_3pa_rate_diff,team_tov_pct_diff,team_ast_pct_diff,team_oreb_pct_diff,team_dreb_pct_diff,opp_ts_diff,opp_rim_rate_diff,opp_3pa_rate_diff,pace_diff,onoff_sample_flag,onoff_impact_score
204335,Betnijah Laney,betnijahlaney,1611661313,2024,Playoffs,get-on-off__player_on_off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-204335__888e8259,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Playoffs&TeamId=1611661313&PlayerId=204335,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-204335__888e8259__results.csv,109.182,67.909,13.328,21.525,-8.197,6.267,20.127,-13.86,2.49,4.845,-2.355,2.973,1.949,1.024,2.623,7.539,-4.916,0.362,0.609,-0.247,0.334,0.57,-0.236,0.194,0.381,-0.187,0.34,0.376,-0.037,19.874,17.84,2.034,0.462,0.275,0.187,0.111,0.129,-0.017,0.057,0.092,-0.035,0.059,0.264,-0.205,0.097,0.302,-0.206,0.111,0.322,-0.211,6.893,5.258,1.635,15.603,22.597,-6.994,0.449,0.481,-0.032,14.534,15.379,-0.845,12.448,15.475,-3.026,0.215,0.108,0.107,0.419,0.505,-0.085,0.274,0.335,-0.061,0.166,0.306,-0.14,0.186,0.244,-0.057,0.377,0.592,-0.215,0.074,0.204,-0.131,0.215,0.364,-0.149,0.352,0.545,-0.193,0.059,0.108,-0.049,0.08,0.256,-0.175,0.0,0.015,-0.015,,,,-8.197,,-0.247,-0.236,-0.187,,0.187,-4.916,-0.035,-0.017,,,,-0.845,medium,0.0
204335,Betnijah Laney,betnijahlaney,1611661313,2024,Regular Season,get-on-off__player_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-204335__4ef65e63,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=204335,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-204335__4ef65e63__results.csv,308.364,342.182,22.418,19.747,2.671,13.199,12.697,0.502,3.286,4.821,-1.535,1.949,3.098,-1.149,5.483,5.267,0.216,0.591,0.535,0.056,0.567,0.507,0.06,0.258,0.365,-0.107,0.556,0.493,0.062,20.095,18.673,1.422,0.295,0.527,-0.232,0.106,0.125,-0.018,0.046,0.044,0.002,0.133,0.106,0.027,0.234,0.25,-0.016,0.178,0.297,-0.119,7.405,7.047,0.358,22.457,24.38,-1.923,0.501,0.517,-0.016,14.893,15.078,-0.185,16.396,15.155,1.241,0.238,0.276,-0.038,0.578,0.732,-0.154,0.472,0.576,-0.104,0.285,0.292,-0.007,0.255,0.265,-0.01,0.64,0.735,-0.095,0.112,0.093,0.019,0.299,0.387,-0.088,0.714,0.714,0.0,0.07,0.111,-0.041,0.111,0.165,-0.054,0.003,0.004,-0.0,,,,2.671,,0.056,0.06,-0.107,,-0.232,0.216,0.002,-0.018,,,,-0.185,large,100.0
1627668,Breanna Stewart,breannastewart,1611661313,2024,Regular Season,get-on-off__player_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627668__453347ab,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1627668,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1627668__453347ab__results.csv,452.091,162.091,19.322,20.475,-1.153,11.385,13.867,-2.482,4.734,4.524,0.21,2.932,3.385,-0.453,4.959,5.668,-0.71,0.544,0.544,-0.0,0.511,0.517,-0.007,0.332,0.31,0.022,0.501,0.48,0.021,17.554,19.315,-1.761,0.398,0.466,-0.068,0.095,0.124,-0.028,0.041,0.043,-0.002,0.109,0.131,-0.021,0.198,0.252,-0.054,0.26,0.267,-0.006,7.221,7.454,-0.233,24.285,22.298,1.987,0.526,0.501,0.025,14.947,15.092,-0.144,15.295,15.484,-0.189,0.263,0.25,0.013,0.69,0.779,-0.089,0.532,0.541,-0.009,0.26,0.309,-0.049,0.221,0.294,-0.073,0.633,0.779,-0.146,0.146,0.07,0.077,0.409,0.389,0.02,0.702,0.727,-0.026,0.109,0.103,0.005,0.156,0.154,0.002,0.003,0.004,-0.001,,,,-1.153,,-0.0,-0.007,0.022,,-0.068,-0.71,-0.002,-0.028,,,,-0.144,large,0.0
202664,Courtney Vandersloot,courtneyvandersloot,1611661313,2024,Playoffs,get-on-off__player_on_off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-202664__bb283c36,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Playoffs&TeamId=1611661313&PlayerId=202664,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-202664__bb283c36__results.csv,57.182,132.909,12.525,21.282,-8.757,4.945,17.865,-12.92,3.932,2.422,1.51,2.139,2.616,-0.477,2.081,6.549,-4.468,0.349,0.532,-0.183,0.293,0.51,-0.217,0.155,0.4,-0.245,0.341,0.377,-0.036,12.995,19.173,-6.177,0.369,0.479,-0.111,0.097,0.127,-0.03,0.036,0.112,-0.077,0.085,0.214,-0.129,0.134,0.202,-0.068,0.209,0.198,0.01,5.52,7.151,-1.631,15.856,22.363,-6.507,0.354,0.49,-0.136,11.85,16.069,-4.219,13.156,14.712,-1.556,0.12,0.166,-0.045,0.551,0.438,0.113,0.405,0.27,0.135,0.193,0.227,-0.034,0.099,0.305,-0.206,0.341,0.519,-0.178,0.087,0.192,-0.105,0.242,0.308,-0.065,0.455,0.535,-0.081,0.094,0.06,0.034,0.179,0.081,0.097,0.013,0.0,0.013,,,,-8.757,,-0.183,-0.217,-0.245,,-0.111,-4.468,-0.077,-0.03,,,,-4.219,medium,0.0
202664,Courtney Vandersloot,courtneyvandersloot,1611661313,2024,Regular Season,get-on-off__player_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-202664__74f1138d,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=202664,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-202664__74f1138d__results.csv,251.545,413.091,16.353,20.514,-4.161,8.123,11.939,-3.816,3.465,4.704,-1.239,3.837,2.766,1.072,3.392,4.853,-1.461,0.43,0.563,-0.133,0.402,0.532,-0.131,0.247,0.385,-0.138,0.364,0.511,-0.146,19.951,18.328,1.623,0.478,0.492,-0.014,0.123,0.128,-0.005,0.065,0.047,0.018,0.097,0.12,-0.023,0.107,0.277,-0.17,0.212,0.313,-0.101,6.822,6.979,-0.157,22.11,22.344,-0.235,0.509,0.512,-0.003,19.446,14.945,4.501,14.783,15.16,-0.377,0.188,0.263,-0.075,0.524,0.709,-0.185,0.524,0.545,-0.021,0.264,0.282,-0.019,0.211,0.286,-0.075,0.594,0.747,-0.153,0.191,0.105,0.087,0.329,0.384,-0.055,0.625,0.712,-0.087,0.071,0.106,-0.035,0.122,0.154,-0.032,0.002,0.005,-0.002,,,,-4.161,,-0.133,-0.131,-0.138,,-0.014,-1.461,0.018,-0.005,,,,4.501,large,46.86
1641602,Ivana Dojkić,ivanadojki,1611661313,2024,Playoffs,get-on-off__player_on_off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-1641602__6adfcc32,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Playoffs&TeamId=1611661313&PlayerId=1641602,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-1641602__6adfcc32__results.csv,2.909,200.727,19.971,14.628,5.343,21.349,8.006,13.344,2.468,3.301,-0.833,3.73,2.855,0.874,8.81,3.376,5.434,0.311,0.413,-0.103,0.318,0.376,-0.058,0.136,0.226,-0.09,0.182,0.389,-0.207,18.935,14.906,4.03,0.091,0.473,-0.382,0.147,0.117,0.031,0.061,0.048,0.012,0.159,0.087,0.072,0.189,0.115,0.075,0.138,0.155,-0.017,1.914,5.542,-3.628,11.155,17.898,-6.744,0.296,0.411,-0.116,10.831,12.529,-1.699,9.378,13.026,-3.648,0.0,0.182,-0.182,0.0,0.512,-0.512,0.0,0.337,-0.337,0.273,0.184,0.089,0.045,0.194,-0.149,0.091,0.442,-0.352,0.076,0.122,-0.046,0.091,0.254,-0.164,0.091,0.537,-0.446,0.061,0.077,-0.016,0.121,0.117,0.004,0.0,0.003,-0.003,,,,5.343,,-0.103,-0.058,-0.09,,-0.382,5.434,0.012,0.031,,,,-1.699,medium,100.0
1641602,Ivana Dojkić,ivanadojki,1611661313,2024,Regular Season,get-on-off__player_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1641602__76239360,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1641602,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1641602__76239360__results.csv,93.364,610.182,19.553,21.085,-1.532,15.027,12.737,2.29,3.419,5.156,-1.737,3.743,2.955,0.788,6.236,5.331,0.905,0.568,0.558,0.01,0.538,0.534,0.004,0.266,0.368,-0.102,0.566,0.517,0.049,18.64,18.797,-0.157,0.433,0.469,-0.036,0.161,0.112,0.048,0.03,0.05,-0.02,0.105,0.121,-0.015,0.354,0.186,0.167,0.35,0.232,0.118,6.049,6.878,-0.829,22.358,24.479,-2.121,0.523,0.511,0.011,15.017,14.978,0.038,14.63,15.735,-1.105,0.313,0.264,0.049,0.804,0.645,0.159,0.562,0.523,0.039,0.292,0.266,0.025,0.255,0.288,-0.033,0.699,0.769,-0.07,0.083,0.108,-0.025,0.176,0.387,-0.211,0.364,0.719,-0.355,0.082,0.105,-0.023,0.122,0.145,-0.024,0.0,0.005,-0.005,,,,-1.532,,0.01,0.004,-0.102,,-0.036,0.905,-0.02,0.048,,,,0.038,large,44.28
1642320,Jaylyn Sherrod,jaylynsherrod,1611661313,2024,Playoffs,get-on-off__player_on_off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-1642320__15df4a86,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Playoffs&TeamId=1611661313&PlayerId=1642320,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-1642320__15df4a86__results.csv,2.182,201.727,12.937,14.74,-1.803,10.49,8.067,2.422,1.399,3.517,-2.119,3.73,2.835,0.895,3.73,3.409,0.32,0.295,0.416,-0.121,0.295,0.376,-0.081,0.227,0.224,0.004,0.091,0.39,-0.299,12.424,14.96,-2.536,0.091,0.473,-0.382,0.045,0.116,-0.071,0.061,0.048,0.012,0.182,0.087,0.095,0.212,0.114,0.098,0.145,0.153,-0.008,2.768,5.541,-2.772,9.036,17.909,-8.873,0.212,0.411,-0.199,8.858,13.575,-4.717,5.978,14.521,-8.543,0.0,0.181,-0.181,0.0,0.512,-0.512,0.0,0.337,-0.337,0.227,0.185,0.042,0.136,0.19,-0.053,0.182,0.442,-0.261,0.045,0.121,-0.076,0.091,0.254,-0.164,0.091,0.537,-0.446,0.03,0.085,-0.055,0.03,0.132,-0.102,0.0,0.003,-0.003,,,,-1.803,,-0.121,-0.081,0.004,,-0.382,0.32,0.012,-0.071,,,,-4.717,medium,0.0
1642320,Jaylyn Sherrod,jaylynsherrod,1611661313,2024,Regular Season,get-on-off__player_on_off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1642320__1f9bcecd,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Regular+Season&TeamId=1611661313&PlayerId=1642320,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Regular_Season__team_id-1611661313__player_id-1642320__1f9bcecd__results.csv,13.182,710.545,14.261,19.134,-4.873,8.127,11.667,-3.54,1.829,4.151,-2.322,0.936,2.963,-2.027,3.279,4.872,-1.593,0.339,0.545,-0.206,0.329,0.509,-0.18,0.299,0.371,-0.072,0.312,0.488,-0.175,14.388,18.033,-3.645,0.273,0.518,-0.245,0.129,0.126,0.003,0.057,0.045,0.012,0.182,0.12,0.062,0.189,0.205,-0.016,0.295,0.249,0.046,6.793,7.009,-0.216,11.316,24.443,-13.127,0.382,0.511,-0.129,18.764,14.819,3.946,13.99,15.326,-1.337,0.175,0.253,-0.078,0.212,0.676,-0.464,0.182,0.631,-0.449,0.211,0.278,-0.068,0.302,0.262,0.04,0.455,0.726,-0.272,0.03,0.113,-0.083,0.03,0.437,-0.406,0.091,0.8,-0.709,0.034,0.104,-0.069,0.044,0.15,-0.106,0.0,0.004,-0.004,,,,-4.873,,-0.206,-0.18,-0.072,,-0.245,-1.593,0.012,0.003,,,,3.946,large,0.0
1627673,Jonquel Jones,jonqueljones,1611661313,2024,Playoffs,get-on-off__player_on_off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-1627673__8b61339e,https://api.pbpstats.com/get-on-off/wnba/player?Season=2024&SeasonType=Playoffs&TeamId=1611661313&PlayerId=1627673,200,data/pbpstats_jobs/wnba_on_off/normalized/get-on-off/player_on_off__get-on-off__season-2024__season_type-Playoffs__team_id-1611661313__player_id-1627673__8b61339e__results.csv,130.182,41.727,12.684,19.396,-6.713,6.431,18.913,-12.482,2.914,3.465,-0.551,2.133,2.239,-0.105,2.704,7.116,-4.412,0.362,0.471,-0.109,0.335,0.43,-0.095,0.183,0.339,-0.156,0.404,0.314,0.09,13.022,18.642,-5.621,0.413,0.291,0.122,0.101,0.12,-0.018,0.039,0.093,-0.055,0.067,0.232,-0.165,0.103,0.291,-0.188,0.112,0.295,-0.183,4.658,8.238,-3.58,15.605,22.778,-7.174,0.371,0.474,-0.103,12.544,14.995,-2.451,13.191,14.438,-1.246,0.149,0.131,0.018,0.409,0.395,0.014,0.253,0.227,0.026,0.181,0.243,-0.062,0.161,0.235,-0.074,0.356,0.442,-0.086,0.121,0.171,-0.05,0.189,0.258,-0.068,0.446,0.364,0.083,0.065,0.084,-0.018,0.11,0.141,-0.031,0.0,0.0,0.0,,,,-6.713,,-0.109,-0.095,-0.156,,0.122,-4.412,-0.055,-0.018,,,,-2.451,medium,0.0
