player_name,player_id,player_id_source,pbpstats_player_id,espn_wehoop_player_id,espn_athlete_id,team_2026,team_2026_abbr,parquet_team_display_name,parquet_team_abbreviation,position_abbreviation,position,position_full,height_raw_source,height_inches,height_ft_in,age_2026,player_college,player_country,date_of_birth,parquet_status_name,parquet_status_type,bio_match_method,age_match_method,parquet_name_match_flag,raw_position_name_match_flag,wbb_box_name_match_flag,player_bios_2025_age_match_flag,raw_age_name_match_flag,parquet_match_method,parquet_team_crosscheck_flag,synthetic_id_flag,team_changed_from_bio_flag,missing_age_flag,missing_height_flag,missing_position_flag,name_alias_flag,notes
Allisha Gray,1628277,team_roster_history,1628277,,3058901,Atlanta Dream,ATL,Atlanta Dream,ATL,G,Guard,Guard,"6' 0""",72,"6'0""",31,,,1995-01-12T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Angel Reese,1642291,team_roster_history,1642291,,4433402,Atlanta Dream,ATL,Atlanta Dream,ATL,F,Forward,Forward,"6' 4""",76,"6'4""",24,,,2002-05-06T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Bella Fontleroy,player:bella_fontleroy__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,G,Guard,Guard,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Brionna Jones,1628280,team_roster_history,1628280,,3058895,Atlanta Dream,ATL,Atlanta Dream,ATL,F,Forward,Forward,"6' 3""",75,"6'3""",30,,,1995-12-18T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Holly Winterburn,player:holly_winterburn__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Indya Nivar,player:indya_nivar__atlanta_dream,synthetic_name,,,5105740,Atlanta Dream,ATL,Atlanta Dream,ATL,G,Guard,Guard,"5' 10""",70,"5'10""",22,,,2004-01-16T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Isobel Borlase,player:isobel_borlase__atlanta_dream,synthetic_name,,,5208983,Atlanta Dream,ATL,Atlanta Dream,ATL,G,Guard,Guard,"5' 11""",71,"5'11""",21,,,2004-09-12T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Jordin Canada,1628886,team_roster_history,1628886,,3142250,Atlanta Dream,ATL,Atlanta Dream,ATL,G,Guard,Guard,"5' 6""",66,"5'6""",30,,,1995-08-11T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Laila Phelia,player:laila_phelia__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,G,Guard,Guard,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Lorela Cubaj,1631032,team_roster_history,1631032,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,False,False,True,True,True,False,missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Madina Okot,player:madina_okot__atlanta_dream,synthetic_name,,,5108587,Atlanta Dream,ATL,Atlanta Dream,ATL,C,Center,Center,"6' 6""",78,"6'6""",21,,,2004-08-23T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Maite Cazorla,player:maite_cazorla__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Naz Hillmon,1631044,team_roster_history,1631044,,4398915,Atlanta Dream,ATL,Atlanta Dream,ATL,F,Forward,Forward,"6' 2""",74,"6'2""",26,,,2000-04-05T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Rhyne Howard,1631009,team_roster_history,1631009,,4398674,Atlanta Dream,ATL,Atlanta Dream,ATL,G,Guard,Guard,"6' 2""",74,"6'2""",26,,,2000-04-29T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Sacha Washington,player:sacha_washington__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,F,Forward,Forward,,,,,,,,,,wbb_box_name_exact,unmatched,False,False,True,False,False,unmatched,False,True,False,True,True,False,False,synthetic_framework_id; wbb_box_name_exact_match; missing_age_after_local_backfill; missing_height_after_local_backfill
Sika Koné,1631021,team_roster_history,1631021,,5017721,Atlanta Dream,ATL,Atlanta Dream,ATL,F,Forward,Forward,"6' 3""",75,"6'3""",23,,,2002-07-13T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Stephanie Jones,player:stephanie_jones__atlanta_dream,synthetic_name,,,,Atlanta Dream,ATL,,,,,,,,,,,,,,,unmatched,unmatched,False,False,False,False,False,unmatched,False,True,False,True,True,True,False,synthetic_framework_id; missing_age_after_local_backfill; missing_height_after_local_backfill; missing_position_after_local_backfill
Taylor Thierry,1642814,team_roster_history,1642814,,,Atlanta Dream,ATL,,,"G, F",Guard-Forward,Guard-Forward,6-1,73,"6'1""",24,,,,,,raw_pos_name_exact,player_bios_2025_id_exact,False,True,False,True,False,unmatched,False,False,False,False,False,False,False,raw_position_name_exact_match; age_filled_from_player_bios_2025_id_exact
Te-Hina Paopao,1642804,team_roster_history,1642804,,4433431,Atlanta Dream,ATL,Atlanta Dream,ATL,G,Guard,Guard,"5' 9""",69,"5'9""",23,,,2002-08-21T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Aicha Coulibaly,player:aicha_coulibaly__chicago_sky,synthetic_name,,,4433433,Chicago Sky,CHI,Chicago Sky,CHI,G,Guard,Guard,"6' 0""",72,"6'0""",24,,,2001-10-18T07:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,True,False,False,False,False,False,synthetic_framework_id; parquet_name_exact_match
Azurá Stevens,1628922,team_roster_history,1628922,,3142010,Chicago Sky,CHI,Chicago Sky,CHI,F,Forward,Forward,"6' 6""",78,"6'6""",30,,,1996-02-01T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
Courtney Vandersloot,202664,team_roster_history,202664,,981,Chicago Sky,CHI,Chicago Sky,CHI,G,Guard,Guard,"5' 8""",68,"5'8""",37,,,1989-02-08T08:00Z,Active,active,parquet_name_exact,parquet_age,True,False,False,False,False,name_exact,False,False,False,False,False,False,False,parquet_name_exact_match
